,MSCI world,TWII,貨幣總計數 M1B(百萬元),建築物開工樓地板面積(千平方公尺),合計買賣超,外資買賣超,融資(交易單位),融資金額(仟元)
Beta_0,1.53E+09,1.25E+09,2.15E+09,2.54E+09,3.32E+09,3.33E+09,1.23E+09,1.57E+09
Beta_1,926564.4,207295.9,70.27177,458921.7,-0.0334452,-0.032532,242.9755,11.8101
