Date,TWII
2017/2/21,9763.929688
2017/2/22,9778.780273
2017/2/23,9769.30957
2017/2/24,9750.469727
2017/3/1,9674.780273
2017/3/2,9691.799805
2017/3/3,9648.209961
2017/3/6,9682.629883
2017/3/7,9738.070313
2017/3/8,9753.450195
2017/3/9,9658.610352
2017/3/10,9627.889648
2017/3/13,9697.339844
2017/3/14,9744.209961
2017/3/15,9740.30957
2017/3/16,9837.830078
2017/3/17,9908.69043
2017/3/20,9912.969727
2017/3/21,9972.490234
2017/3/22,9922.660156
2017/3/23,9930.740234
2017/3/24,9902.980469
2017/3/27,9876.769531
2017/3/28,9876.450195
2017/3/29,9856.25
2017/3/30,9848.150391
2017/3/31,9811.519531
2017/4/5,9949.480469
2017/4/6,9897.799805
2017/4/7,9873.370117
2017/4/10,9882.540039
2017/4/11,9832.419922
2017/4/12,9817.679688
2017/4/13,9836.679688
2017/4/14,9732.929688
2017/4/17,9716.400391
2017/4/18,9746.55957
2017/4/19,9639.94043
2017/4/20,9632.69043
2017/4/21,9717.410156
2017/4/24,9717.950195
2017/4/25,9841.709961
2017/4/26,9856.450195
2017/4/27,9860.620117
2017/4/28,9872
2017/5/2,9941.269531
2017/5/3,9955.330078
2017/5/4,9967.639648
2017/5/5,9899.94043
2017/5/8,9937.25
2017/5/9,9915.480469
2017/5/10,9968.320313
2017/5/11,10001.48047
2017/5/12,9986.820313
2017/5/15,10036.82031
2017/5/16,10031.49023
2017/5/17,10013.66992
2017/5/18,9969.450195
2017/5/19,9947.620117
2017/5/22,9997.259766
2017/5/23,10007.83984
2017/5/24,10044.41992
2017/5/25,10108.49023
2017/5/26,10101.9502
2017/5/31,10040.71973
2017/6/1,10087.41992
2017/6/2,10152.53027
2017/6/5,10226.83984
2017/6/6,10206.17969
2017/6/7,10209.99023
2017/6/8,10225.78027
2017/6/9,10199.65039
2017/6/12,10109.95996
2017/6/13,10128.15039
2017/6/14,10072.45996
2017/6/15,10088.34961
2017/6/16,10156.73047
2017/6/19,10250.59961
2017/6/20,10324.45996
2017/6/21,10349.71973
2017/6/22,10399.05957
2017/6/23,10377.7002
2017/6/26,10513.95996
2017/6/27,10512.05957
2017/6/28,10390.5498
2017/6/29,10421.65039
2017/6/30,10395.07031
2017/7/3,10412.79004
2017/7/4,10347.78027
2017/7/5,10404.79004
2017/7/6,10368.2002
2017/7/7,10297.25
2017/7/10,10289.91016
2017/7/11,10415.57031
2017/7/12,10420.67969
2017/7/13,10460.15039
2017/7/14,10443.91016
2017/7/17,10457.54004
2017/7/18,10481.25977
2017/7/19,10506.09961
2017/7/20,10499.36035
2017/7/21,10436.7002
2017/7/24,10461.28027
2017/7/25,10463.15039
2017/7/26,10419.11035
2017/7/27,10508.37012
2017/7/28,10423.0498
2017/7/31,10427.33008
2017/8/1,10437.29004
2017/8/2,10519.26953
2017/8/3,10469.87988
2017/8/4,10506.55957
2017/8/7,10579.37988
2017/8/8,10568.96973
2017/8/9,10470.37988
2017/8/10,10329.74023
2017/8/11,10329.57031
2017/8/14,10225.28027
2017/8/15,10311.16016
2017/8/16,10290.38965
2017/8/17,10369.37012
2017/8/18,10321.33008
2017/8/21,10326.38965
2017/8/22,10392.07031
2017/8/23,10406.80957
2017/8/24,10488.95996
2017/8/25,10515.50977
2017/8/28,10525.98047
2017/8/29,10496.57031
2017/8/30,10569.40039
2017/8/31,10585.78027
2017/9/1,10594.82031
2017/9/4,10569.87012
2017/9/5,10617.83984
2017/9/6,10547.86035
2017/9/7,10538.50977
2017/9/8,10609.9502
2017/9/11,10572.16016
2017/9/12,10610.34961
2017/9/13,10532.87988
2017/9/14,10553.57031
2017/9/15,10580.41016
2017/9/18,10631.57031
2017/9/19,10576.13965
2017/9/20,10519.16992
2017/9/21,10578.44043
2017/9/22,10449.67969
2017/9/25,10335.88965
2017/9/26,10257.01953
2017/9/27,10326.67969
2017/9/28,10296.4502
2017/9/29,10329.94043
2017/10/2,10465.16016
2017/10/3,10469.34961
2017/10/5,10518.26953
2017/10/6,10532.80957
2017/10/11,10641.19043
2017/10/12,10711.44043
2017/10/13,10724.08984
2017/10/16,10774.20996
2017/10/17,10723.15039
2017/10/18,10720.28027
2017/10/19,10760.29004
2017/10/20,10728.87988
2017/10/23,10735.20996
2017/10/24,10743.78027
2017/10/25,10750.57031
