,日期,當日沖銷交易總成交股數,當日沖銷交易總成交股數占市場比重%,當日沖銷交易總買進成交金額,當日沖銷交易總買進成交金額占市場比重%,當日沖銷交易總賣出成交金額,當日沖銷交易總賣出成交金額占市場比重%
11,107/07/17,551667100,9.56,45851639015,33.86,45847496755,33.86
12,107/07/18,661632000,9.98,53995180180,32.53,53967854110,32.52
13,107/07/19,589682000,9.99,49582502550,34.27,49644931110,34.32
14,107/07/20,614813400,10.38,48209821545,28.75,48205601545,28.75
15,107/07/23,563438100,10.15,47073977635,31.28,47169070100,31.35
16,107/07/24,580523000,9.79,45960771390,31.47,46070506870,31.54
17,107/07/25,488021000,8.77,37819970110,30.42,37862577570,30.45
18,107/07/26,579482000,10.26,42373675630,31.58,42425464270,31.62
19,107/07/27,547133100,9.63,36331028700,28.77,36400117355,28.82
20,107/07/30,486266000,8.86,33536162220,26.47,33511789640,26.46
21,107/07/31,541740000,9.39,50584904960,31.81,50663852260,31.86
0,107/08/01,543687000,9.06,46461923730,31.93,46516365870,31.97
1,107/08/02,527078300,8.5,39975808535,28.1,39930114685,28.06
2,107/08/03,518331000,10.5,48510517050,35.28,48544835470,35.31
3,107/08/06,469905100,8.97,36583589725,31.35,36607445320,31.37
4,107/08/07,452471000,8.78,35133078830,29.07,35222778670,29.14
5,107/08/08,499467000,8.98,42650333730,29.91,42529669470,29.83
6,107/08/09,458548000,8.61,41114674380,32.48,41162026690,32.52
7,107/08/10,469952000,9.38,39079903090,31.11,39027985590,31.07
8,107/08/13,564404100,8.81,43559158430,27.29,43575147535,27.3
9,107/08/14,569821000,10.55,46479480040,33.57,46661768210,33.71
10,107/08/15,596309000,10.8,42103124470,31.06,42142199610,31.08
11,107/08/16,759024100,13.67,49620178215,35.02,49805550530,35.15
12,107/08/17,594672000,11.91,45356225670,35.35,45318335430,35.32
13,107/08/20,536349000,11.58,39434564130,34.37,39497476540,34.43
14,107/08/21,493498000,10.43,38548032600,33.89,38608909420,33.94
15,107/08/22,496845000,10.5,29623624960,30.01,29654365280,30.05
16,107/08/23,502081000,10.52,31602555350,31.23,31618689860,31.25
17,107/08/24,448808000,10.56,32935146000,33.71,32972995640,33.75
18,107/08/27,420001000,9.73,33188222450,31.25,33289205070,31.34
19,107/08/28,493572000,10.41,42052075480,32.41,42056910220,32.41
20,107/08/29,449982000,9.87,36934278550,30.64,36999855300,30.69
21,107/08/30,504356000,11.3,33893110900,29.27,33902812200,29.27
22,107/08/31,510656000,11.45,31381228780,25.73,31441559540,25.78
0,107/09/03,459962300,10.86,32062753880,28.33,32030195140,28.3
1,107/09/04,471952000,11.31,43268144460,36.71,43392373080,36.81
2,107/09/05,469221000,10.39,35495599270,29.84,35514309710,29.85
3,107/09/06,559295000,11.66,45052226150,34.19,45094354920,34.22
4,107/09/07,657488000,12.1,45307555550,29.56,45279558890,29.54
5,107/09/10,630686200,11.84,46202791750,29.51,46246510770,29.54
6,107/09/11,589248500,12.5,40925209430,31.54,40999436115,31.59
7,107/09/12,574763000,12.48,39761046140,31.73,39812768590,31.77
8,107/09/13,599034000,13.99,38452941140,33.23,38451510230,33.23
9,107/09/14,604039000,12.45,44558958960,34.49,44713028000,34.61
10,107/09/17,477281000,11.77,28708877830,31.53,28767510890,31.6
11,107/09/18,557727000,12.08,36924303100,31.25,36940620560,31.27
12,107/09/19,569697000,11.53,41182284720,30.94,41160383110,30.92
13,107/09/20,592714000,12.31,49394801630,36.53,49485515960,36.6
14,107/09/21,612135000,11.48,46532606610,29.15,46693803140,29.25
15,107/09/25,561504000,12.6,37371267870,32.15,37452964040,32.22
16,107/09/26,566093000,12.79,34296076840,31.74,34304995130,31.75
17,107/09/27,565664000,12.09,38968355010,31.43,39007912950,31.46
18,107/09/28,657009000,13.45,47721777050,34.26,47774743880,34.3
0,107/10/01,409559000,10.24,29394632760,31.3,29451509970,31.36
1,107/10/02,452974000,10.37,34201457380,31.51,34190624560,31.5
2,107/10/03,452406100,11.5,32936259415,32.59,32932044465,32.58
3,107/10/04,447708000,10.68,33867971620,29.9,33883999610,29.91
4,107/10/05,693342000,12.5,45326539900,30.11,45317283340,30.1
5,107/10/08,554471000,12.13,42741666380,33.68,42785312630,33.72
6,107/10/09,637360100,13.56,42889389080,34.94,42981827755,35.01
7,107/10/11,731339000,9.02,40000164500,19.09,40107009350,19.14
8,107/10/12,746501100,12.5,44644760530,30.11,44853447460,30.26
9,107/10/15,532924000,11.22,35123305430,29.69,35184488020,29.75
10,107/10/16,570355000,13.06,35561693110,32.64,35627710880,32.7
11,107/10/17,575306000,12.99,37926625020,32.85,37928801580,32.85
12,107/10/18,544023000,13.82,35517780590,36.34,35553801900,36.38
13,107/10/19,685136000,13.41,41539697580,32.8,41616365560,32.86
14,107/10/22,558663000,12.11,36881528760,36.06,36990355640,36.17
15,107/10/23,523377300,11.41,32230529835,31.16,32210906730,31.15
16,107/10/24,815672100,15.51,45703393460,36.58,45796398570,36.65
17,107/10/25,711745100,12.5,37135036065,28.06,37200723250,28.11
18,107/10/26,777946000,15.14,44597012580,33.56,44588330780,33.56
19,107/10/29,672532000,14.32,38584754730,36.08,38643073260,36.14
20,107/10/30,684970100,15.09,36218656005,35.78,36273712715,35.83
21,107/10/31,733039000,13.75,41916768380,31.75,42054200360,31.85
0,107/11/01,737417000,13.42,44596046830,34.58,44760682870,34.7
1,107/11/02,980036000,15.89,62266525830,40.44,62422925650,40.54
2,107/11/05,655500100,13.42,38843078030,35.66,38886619695,35.7
3,107/11/06,704689000,14.35,43943753730,36.86,43887955250,36.82
4,107/11/07,683110000,13.8,47883741530,40.39,47992442800,40.48
5,107/11/08,667998000,13.17,43401776660,36.0,43362905200,35.97
6,107/11/09,529310000,11.91,38085180790,37.06,38128358510,37.1
7,107/11/12,521285000,12.64,32924735880,35.87,32963258910,35.91
8,107/11/13,700043200,13.72,41248049360,36.34,41392952750,36.46
9,107/11/14,628008000,13.16,37188906450,35.5,37223788120,35.54
10,107/11/15,695636000,15.31,34815344350,35.35,34860468480,35.4
11,107/11/16,762095000,15.86,42919115740,36.29,42983230590,36.34
12,107/11/19,495025000,12.27,27512125340,29.5,27548280000,29.54
13,107/11/20,499109000,12.6,30668759650,32.62,30692248720,32.64
14,107/11/21,566137000,13.58,34714889540,33.78,34792139790,33.85
15,107/11/22,569813000,14.05,38161940190,38.2,38139600570,38.18
16,107/11/23,463946000,12.49,27095523270,34.93,27073382160,34.9
17,107/11/26,604784000,15.35,29986867340,32.91,30044619210,32.97
18,107/11/27,540837100,12.48,31322415670,30.74,31396767120,30.81
19,107/11/28,722989000,13.35,42383257510,32.92,42577722590,33.07
20,107/11/29,768414000,13.1,45090459920,31.25,45142150860,31.29
21,107/11/30,830498000,12.56,42715744940,24.93,42833353370,25.0
0,107/12/03,832208000,11.97,41695821490,24.42,41871461910,24.52
1,107/12/04,705817000,12.58,44068035950,30.23,44129247400,30.27
2,107/12/05,594343000,12.44,34777845860,30.1,34850442920,30.16
3,107/12/06,707737000,12.53,41214879550,28.56,41081011850,28.46
4,107/12/07,538548000,13.66,34712632230,34.97,34767857560,35.02
5,107/12/10,618620100,14.49,31521642455,31.36,31555593385,31.39
6,107/12/11,526154000,14.4,30773372680,33.15,30828962460,33.21
7,107/12/12,506608000,12.24,28148561030,27.48,28192965430,27.53
8,107/12/13,590112000,12.97,35625724220,31.28,35659222410,31.31
9,107/12/14,525187000,13.35,29946708720,30.69,29981186850,30.73
10,107/12/17,516204000,14.13,26310969580,32.61,26361035090,32.67
11,107/12/18,485532200,11.35,24633762430,25.46,24661523870,25.49
12,107/12/19,524811000,13.19,25619409000,28.06,25624329030,28.06
13,107/12/20,550412200,12.92,26067975050,27.26,26087303825,27.28
14,107/12/21,608378100,13.0,33636292305,29.9,33715522080,29.97
15,107/12/22,255955000,10.98,12549293110,32.41,12563718030,32.45
16,107/12/24,403211000,13.28,19115682430,27.68,19158787110,27.75
17,107/12/25,456360000,12.71,21721152200,29.5,21761179480,29.55
18,107/12/26,462153000,14.89,23237465380,33.37,23165454230,33.27
19,107/12/27,504782000,13.73,26861773880,32.74,26875651340,32.76
20,107/12/28,382954000,12.34,19007767760,25.4,19033553060,25.43
0,108/01/02,384118100,12.07,19144554720,26.38,19131447850,26.37
1,108/01/03,456015000,11.66,25263415510,27.73,25297759600,27.77
2,108/01/04,528148000,11.37,28760265770,26.62,28819407080,26.68
3,108/01/07,478807100,11.19,21750914190,23.24,21787434760,23.28
4,108/01/08,420831000,12.22,20458828950,26.02,20493559340,26.06
5,108/01/09,582062000,11.44,33887270990,26.31,33991617590,26.39
6,108/01/10,463144000,11.74,24814903960,27.78,24851043460,27.82
7,108/01/11,454861000,11.73,27453302980,28.79,27466751300,28.81
8,108/01/14,358474000,10.84,19860411220,27.29,19882239180,27.32
9,108/01/15,443081000,11.11,26861130240,26.72,26926854120,26.79
10,108/01/16,476636000,11.62,25943053430,27.0,25987737600,27.05
11,108/01/17,483348000,12.73,26820134340,28.8,26823948770,28.8
12,108/01/18,423094000,11.03,25781783700,26.32,25827425060,26.37
