,日期,當日沖銷交易總成交股數,當日沖銷交易總成交股數占市場比重%,當日沖銷交易總買進成交金額,當日沖銷交易總買進成交金額占市場比重%,當日沖銷交易總賣出成交金額,當日沖銷交易總賣出成交金額占市場比重%
17,103/06/26,93114000,1.7,2993102070,3.03,3005523840,3.05
18,103/06/27,61625000,1.3,3152588800,3.31,3147551570,3.3
19,103/06/30,82255000,1.6,4096943020,3.97,4133506250,4.01
0,103/07/01,118251000,1.95,4654236360,4.03,4652824370,4.02
1,103/07/02,190688000,2.44,7321458310,4.76,7318189120,4.75
2,103/07/03,147793000,2.33,5991863820,4.91,6043601440,4.95
3,103/07/04,123664000,2.02,5280589520,4.46,5262653220,4.45
4,103/07/07,132665000,2.19,5183894530,4.65,5206116390,4.67
5,103/07/08,110307000,1.87,4169873330,4.06,4164584680,4.06
6,103/07/09,86390000,1.54,3702496140,3.61,3685452320,3.59
7,103/07/10,107082000,1.57,4651498020,3.29,4669139650,3.3
8,103/07/11,104173000,1.54,5424415900,4.02,5403504470,4.01
9,103/07/14,115144000,1.97,4231577550,3.77,4244661690,3.78
10,103/07/15,105169000,1.73,4299885410,3.73,4293788550,3.72
11,103/07/16,80292000,1.27,3946187030,3.36,3938469460,3.36
12,103/07/17,93997000,1.43,5028258060,3.92,4996643630,3.9
13,103/07/18,69936000,1.28,4419329700,4.3,4425789480,4.3
14,103/07/21,53740000,1.08,3339478230,3.62,3332338820,3.61
15,103/07/22,80130000,1.52,4017706530,4.08,4038159640,4.1
16,103/07/24,92923000,1.52,5010585300,4.14,4987006330,4.12
17,103/07/25,64213000,1.09,3436364530,3.17,3419613830,3.16
18,103/07/28,83566000,1.41,4983404830,4.52,4990484840,4.52
19,103/07/29,150838000,2.01,6355192490,4.72,6319195560,4.69
20,103/07/30,124628000,2.01,6360603840,5.96,6371120110,5.97
21,103/07/31,91703000,1.51,4799701360,4.5,4789150550,4.49
0,103/08/01,104049000,1.74,4791396400,4.61,4827761190,4.64
1,103/08/04,79348000,1.49,3580831280,3.94,3592266910,3.96
2,103/08/05,95070000,1.54,5052870370,4.62,5015125270,4.58
3,103/08/06,108740000,1.66,5907249680,5.41,5914546040,5.42
4,103/08/07,78629000,1.48,4148556670,4.91,4121406480,4.87
5,103/08/08,74770000,1.41,4143449050,4.66,4149124000,4.66
6,103/08/11,83470000,1.61,3959089090,4.66,3989403030,4.69
7,103/08/12,72777000,1.36,4489265990,5.04,4494425740,5.05
8,103/08/13,61786000,1.16,3431794360,3.96,3443423020,3.98
9,103/08/14,63343000,1.15,3576169510,3.91,3561853740,3.89
10,103/08/15,57223000,1.2,3116968800,4.15,3118401250,4.15
11,103/08/18,49519000,1.05,2635062680,3.55,2636416670,3.55
12,103/08/19,69132000,1.25,4326088940,4.8,4352696640,4.83
13,103/08/20,64100000,1.2,3854191030,4.24,3848024200,4.23
14,103/08/21,65341000,1.28,3688264810,4.45,3693583810,4.46
15,103/08/22,84089000,1.48,4305981040,4.11,4330290500,4.14
16,103/08/25,57400000,1.17,2811594330,3.6,2822912220,3.61
17,103/08/26,55143000,1.03,3782841330,4.02,3789729910,4.03
18,103/08/27,130580000,2.02,4777825870,4.08,4797757850,4.1
19,103/08/28,116773000,1.82,4112106940,4.02,4116828970,4.02
20,103/08/29,85219000,1.63,3701399980,4.1,3704954400,4.1
0,103/09/01,59833000,1.15,3150509570,3.55,3150410090,3.55
1,103/09/02,55952000,1.01,2973969480,3.32,2960341050,3.3
2,103/09/03,80111000,1.5,4403346170,4.93,4396793940,4.92
3,103/09/04,61552000,1.32,2935065980,3.91,2936046760,3.92
4,103/09/05,43731000,1.02,2962887530,4.02,2960906950,4.02
5,103/09/09,49616000,1.11,3128828280,3.92,3122997390,3.91
6,103/09/10,55822000,1.16,3331864000,4.23,3343696340,4.24
7,103/09/11,54884000,1.2,2962744110,4.07,2955514880,4.06
8,103/09/12,56817000,1.11,3994743400,4.91,3976429870,4.88
9,103/09/15,54423000,1.29,3373727710,5.03,3371076340,5.03
10,103/09/16,77223000,1.64,3444690740,4.96,3439104560,4.95
11,103/09/17,66675000,1.3,3604679450,4.38,3611224070,4.39
12,103/09/18,47329000,1.08,3082607230,4.4,3087356650,4.41
13,103/09/19,55834000,1.23,2996191600,3.71,2994654320,3.71
14,103/09/22,65239000,1.4,3239690970,4.09,3240128030,4.09
15,103/09/23,54819000,1.11,3321226170,3.97,3319341190,3.97
16,103/09/24,46168000,0.92,3568967470,4.45,3559091740,4.44
17,103/09/25,73410000,1.29,4555963570,4.91,4531119020,4.88
18,103/09/26,64317000,1.27,4587533320,5.36,4606050860,5.38
19,103/09/29,49386000,1.11,3693685120,4.4,3698201160,4.41
20,103/09/30,100912000,1.62,5925116400,5.75,5952877020,5.77
0,103/10/01,72913000,1.42,4639931690,5.86,4657737300,5.88
1,103/10/02,94211000,1.92,4661588660,6.11,4687189110,6.14
2,103/10/03,71433000,1.38,4248268970,5.12,4266207650,5.14
3,103/10/06,68021000,1.46,4226205180,5.26,4214531580,5.24
4,103/10/07,59338000,1.3,3802646330,5.01,3808202890,5.02
5,103/10/08,58191000,1.27,3492561280,4.69,3487366550,4.68
6,103/10/09,69136000,1.42,4804718170,5.62,4781224650,5.6
7,103/10/13,75242000,1.31,4967803030,4.83,4994615000,4.86
8,103/10/14,78293000,1.68,4138288560,5.56,4149099020,5.57
9,103/10/15,80890000,1.34,5694166790,5.34,5689640570,5.34
10,103/10/16,128587000,1.91,7016944420,6.48,7075644730,6.53
11,103/10/17,91403000,1.37,5734425790,4.63,5706120450,4.61
12,103/10/20,67916000,1.35,5299835810,6.73,5307129340,6.74
13,103/10/21,57309000,1.31,4135975650,6.42,4147991530,6.44
14,103/10/22,99177000,1.82,5171439860,6.24,5144396130,6.21
15,103/10/23,73979000,1.59,4334381790,6.93,4334601650,6.93
16,103/10/24,74864000,1.71,4319301760,6.37,4313113640,6.36
17,103/10/27,56717000,1.31,4141924240,6.16,4140177460,6.16
18,103/10/28,73648000,1.37,5015379620,5.83,5049937350,5.87
19,103/10/29,104816000,1.71,5391344990,5.62,5421530040,5.65
20,103/10/30,121783000,2.23,4943981720,6.05,4950383970,6.06
21,103/10/31,104032000,1.86,5319138200,6.12,5336867780,6.14
0,103/11/03,92607000,1.6,5086306060,5.61,5091888900,5.62
1,103/11/04,89265000,1.71,4935683200,6.51,4935675320,6.51
2,103/11/05,83955000,1.69,4494498230,6.33,4484049450,6.32
3,103/11/06,84806000,1.62,4380423530,5.98,4357991020,5.95
4,103/11/07,89078000,1.79,4695168410,6.82,4711429780,6.84
5,103/11/10,86176000,1.52,4765646440,5.54,4768656140,5.54
6,103/11/11,90165000,1.63,4449246170,5.74,4446995640,5.74
7,103/11/12,84036000,1.54,4842344180,6.14,4833912930,6.13
8,103/11/13,61837000,1.24,4649375460,6.62,4656013230,6.63
9,103/11/14,88816000,1.83,4811035330,6.41,4821186260,6.43
10,103/11/17,71580000,1.47,4131814420,5.58,4118393360,5.56
11,103/11/18,87693000,1.64,4180850990,5.25,4172172660,5.24
12,103/11/19,89155000,1.61,4811172050,5.14,4822406530,5.15
13,103/11/20,99854000,1.7,5180730070,5.6,5197305660,5.62
14,103/11/21,71372000,1.46,4189763590,5.25,4191921190,5.26
15,103/11/24,77228000,1.65,3805557080,4.96,3793541400,4.95
16,103/11/25,67747000,1.36,4143080620,4.65,4151725030,4.66
17,103/11/26,69911000,1.4,4400170110,5.82,4403568390,5.83
18,103/11/27,64235000,1.18,4636453590,5.53,4637683290,5.53
19,103/11/28,60073000,1.35,3081756020,4.31,3082683550,4.31
0,103/12/01,93248000,1.75,5009960080,5.55,5040675600,5.59
1,103/12/02,67116000,1.17,4027702780,4.1,4030258580,4.11
2,103/12/03,126029000,1.83,5867896510,5.06,5900869240,5.09
3,103/12/04,111966000,1.67,5273603740,5.04,5286548670,5.05
4,103/12/05,67303000,1.12,4535433420,4.54,4543119380,4.55
5,103/12/08,73893000,1.34,4224897010,4.56,4207684280,4.54
6,103/12/09,73903000,1.37,3718367800,4.22,3717609450,4.22
7,103/12/10,81724000,1.38,4007090340,4.32,3999993490,4.31
8,103/12/11,78763000,1.48,4488218070,5.52,4500617270,5.53
9,103/12/12,54025000,1.14,3671193290,4.73,3670826920,4.73
10,103/12/15,50105000,1.13,3151235390,4.08,3161495370,4.09
11,103/12/16,56528000,1.11,3889831450,4.44,3878278120,4.42
12,103/12/17,79363000,1.32,4660208740,4.24,4656160790,4.24
13,103/12/18,74977000,1.37,4193252650,4.66,4184717270,4.65
14,103/12/19,102015000,1.56,5652562220,5.12,5648107450,5.12
15,103/12/22,91157000,1.62,3830328760,4.72,3840094720,4.73
16,103/12/23,76104000,1.51,3209986890,4.55,3209046420,4.55
17,103/12/24,125009000,2.1,3922315730,4.64,3931366810,4.65
18,103/12/25,100240000,2.29,2732225630,4.89,2732131710,4.89
19,103/12/26,70213000,1.76,2364623690,4.14,2367195120,4.14
20,103/12/27,42412000,1.35,1192010930,3.03,1192443780,3.03
21,103/12/29,81972000,1.68,3293512790,3.97,3300066430,3.98
22,103/12/30,90982000,2.1,3436092380,4.76,3436444000,4.76
23,103/12/31,66809000,1.92,2787216470,4.6,2789293050,4.6
0,104/01/05,120887000,2.49,3904005130,4.79,3927619400,4.82
1,104/01/06,120922000,1.94,4464411040,4.01,4449774390,4.0
2,104/01/07,143972000,2.62,5402469220,5.57,5430604870,5.6
3,104/01/08,133446000,2.09,5008050470,4.61,5028078190,4.63
4,104/01/09,112825000,2.07,4564530180,4.61,4552573620,4.6
5,104/01/12,103527000,2.07,3576069910,4.24,3577452860,4.24
6,104/01/13,93517000,1.73,3777407130,4.07,3784043750,4.08
7,104/01/14,90335000,1.67,3897931380,4.17,3902382560,4.17
8,104/01/15,101543000,1.88,4023790190,4.49,4018824810,4.48
9,104/01/16,112282000,1.86,5380173710,4.64,5366366650,4.63
10,104/01/19,81070000,1.56,3628182910,4.05,3625333350,4.04
11,104/01/20,93615000,1.76,4969443160,5.71,4997127150,5.74
12,104/01/21,91927000,1.62,4376035780,4.36,4376905770,4.36
13,104/01/22,111996000,1.93,4519166900,4.56,4530124050,4.57
14,104/01/23,82630000,1.32,5157248250,4.3,5155875660,4.3
15,104/01/26,74860000,1.52,4011708000,4.42,4017526370,4.42
16,104/01/27,72009000,1.44,3654015680,4.0,3654610190,4.0
17,104/01/28,82523000,1.75,4011507560,4.81,4023211450,4.82
18,104/01/29,82219000,1.68,3926255100,4.7,3929609000,4.7
19,104/01/30,86268000,1.84,3822269340,4.37,3814087770,4.36
0,104/02/02,70121000,1.67,3383023540,4.63,3390392200,4.64
1,104/02/03,73357000,1.61,3914934520,5.02,3924612000,5.04
2,104/02/04,80883000,1.53,3785915230,3.85,3786522510,3.85
3,104/02/05,48911000,1.13,2837436480,3.81,2841840170,3.81
4,104/02/06,46851000,1.19,3125987770,4.28,3121088980,4.28
5,104/02/09,41424000,1.16,2613670240,3.93,2616811510,3.94
6,104/02/10,51252000,1.3,2993106370,3.93,2994720240,3.93
7,104/02/11,75031000,1.66,5750039460,5.9,5785284050,5.93
8,104/02/12,66725000,1.82,3680663000,4.78,3690038580,4.79
9,104/02/13,47496000,1.39,3018209860,3.89,3018731830,3.89
10,104/02/24,57189000,1.37,3249562290,2.83,3259483630,2.83
11,104/02/25,69101000,1.45,3239187040,3.33,3245516870,3.33
12,104/02/26,64495000,1.45,3245413790,3.29,3254639540,3.3
0,104/03/02,70420000,1.57,3090635030,3.32,3091391520,3.33
1,104/03/03,57136000,1.28,3193838360,3.71,3198697580,3.71
2,104/03/04,54580000,1.2,2708061260,3.18,2710803230,3.18
3,104/03/05,61813000,1.33,3187415350,3.7,3192616060,3.71
4,104/03/06,57109000,1.19,3672354910,3.83,3686296720,3.84
5,104/03/09,42399000,0.96,2575388580,2.96,2579463420,2.97
6,104/03/10,58077000,1.22,3513441430,3.77,3512144970,3.77
7,104/03/11,74211000,1.47,4049833970,4.17,4055848760,4.17
8,104/03/12,100122000,1.78,3812594130,3.92,3830502630,3.94
9,104/03/13,53744000,1.12,2844058100,3.21,2840656620,3.21
10,104/03/16,49802000,1.16,2363335380,2.81,2361151280,2.81
11,104/03/17,59757000,1.17,3469390670,3.53,3467044590,3.52
12,104/03/18,61312000,1.1,3676186280,3.41,3692284450,3.43
13,104/03/19,66370000,1.05,4086969570,3.45,4100041270,3.46
14,104/03/20,61550000,1.06,4191111700,3.42,4203491520,3.43
15,104/03/23,69030000,1.22,3788855920,3.61,3794825170,3.61
16,104/03/24,60217000,1.09,3165726210,3.24,3166726250,3.24
17,104/03/25,50811000,0.97,2931884010,3.02,2921049190,3.01
18,104/03/26,58143000,1.07,3438966470,2.86,3448023260,2.86
19,104/03/27,60953000,1.17,3900462470,3.4,3884067830,3.39
20,104/03/30,48707000,1.02,3604314120,3.89,3604299380,3.89
21,104/03/31,68382000,1.22,4543833590,4.24,4545160960,4.24
0,104/04/01,56202000,1.17,3625521720,4.15,3634399410,4.16
1,104/04/02,63722000,1.43,4515963850,4.77,4520550490,4.78
2,104/04/07,59796000,1.33,3283298240,3.52,3296090900,3.54
3,104/04/08,65765000,1.32,3469714160,3.67,3461441680,3.66
4,104/04/09,69044000,1.25,3792795870,3.76,3785715690,3.75
5,104/04/10,60908000,1.24,3329581400,3.59,3330382610,3.59
6,104/04/13,56585000,1.2,2923589480,3.36,2932396510,3.37
7,104/04/14,76722000,1.42,3391100970,3.57,3398615180,3.58
8,104/04/15,72094000,1.24,3899139260,3.4,3894182660,3.4
9,104/04/16,64556000,1.18,3413025550,3.26,3418418900,3.26
10,104/04/17,46724000,0.9,2686572580,2.71,2683786200,2.7
11,104/04/20,63845000,1.29,4171391320,4.56,4187993830,4.57
12,104/04/21,81841000,1.58,4339205700,4.59,4333448080,4.58
13,104/04/22,74542000,1.29,4591644250,4.38,4612818490,4.4
14,104/04/23,159549000,2.02,6632386950,4.58,6668378460,4.61
15,104/04/24,152064000,1.92,6926500240,4.1,6937333970,4.11
16,104/04/27,134686000,1.93,5141323140,3.89,5158630150,3.9
17,104/04/28,115605000,1.79,4918989210,4.16,4920040110,4.16
18,104/04/29,101176000,1.61,4422494580,3.84,4415700900,3.83
19,104/04/30,88424000,1.66,4737140700,4.17,4749107990,4.18
0,104/05/04,77295000,1.44,3956027460,3.99,3967012080,4.0
1,104/05/05,71071000,1.36,3877343130,4.21,3877299740,4.21
2,104/05/06,105068000,1.82,4663830270,4.77,4688170400,4.79
3,104/05/07,99810000,1.69,3842392220,4.02,3846390950,4.03
4,104/05/08,68937000,1.4,3560604600,4.2,3554528540,4.19
5,104/05/11,79762000,1.4,3905255970,4.05,3899740490,4.05
6,104/05/12,80115000,1.53,3930508650,4.4,3945398860,4.42
7,104/05/13,88190000,1.57,4549864810,4.71,4569021400,4.73
8,104/05/14,79640000,1.39,4137388220,4.17,4130590240,4.17
9,104/05/15,74675000,1.52,4132550440,4.9,4126985230,4.89
10,104/05/18,76378000,1.47,3786468480,4.05,3792397960,4.05
11,104/05/19,98197000,1.49,4449944970,4.1,4467091650,4.11
12,104/05/20,84302000,1.4,3635537110,3.67,3641332590,3.68
13,104/05/21,85882000,1.56,3886527410,4.01,3893421350,4.02
14,104/05/22,112541000,1.97,4950730470,4.96,4963590490,4.97
15,104/05/25,61443000,1.29,3329044490,4.32,3336160860,4.33
16,104/05/26,75939000,1.5,3474228190,4.35,3478808200,4.35
17,104/05/27,111072000,1.86,4486957920,4.39,4501331000,4.4
18,104/05/28,87755000,1.38,4624936350,4.0,4623104840,4.0
19,104/05/29,74666000,1.14,4086567250,2.84,4098167970,2.85
0,104/06/01,124575000,2.43,5751991705,6.22,5773950300,6.25
1,104/06/02,110954100,2.01,5714645130,5.69,5719992335,5.7
2,104/06/03,137247400,2.32,6641578965,6.49,6641549395,6.49
3,104/06/04,184943600,2.46,7835856955,5.69,7817860500,5.68
4,104/06/05,194926700,3.18,8598692180,7.7,8640569265,7.73
5,104/06/08,146254900,2.72,6788601170,7.06,6813596300,7.08
6,104/06/09,167554000,2.63,7362677510,6.76,7333463700,6.73
7,104/06/10,160301100,2.87,8175133130,8.26,8204188690,8.29
8,104/06/11,145590000,2.7,8137693085,8.23,8150521050,8.25
9,104/06/12,122811800,2.76,7008678985,8.41,7014415845,8.42
10,104/06/15,118551000,2.86,6412301360,8.52,6408963490,8.52
11,104/06/16,119656000,2.65,5849619790,7.26,5854392710,7.26
12,104/06/17,138818400,2.75,6477868750,6.98,6484999110,6.99
13,104/06/18,136128900,2.97,6183903080,7.46,6195382685,7.47
14,104/06/22,112301600,2.3,5268411055,5.8,5277936220,5.81
15,104/06/23,167685100,3.07,8116732505,8.06,8126411490,8.07
16,104/06/24,132077100,2.83,5787246135,7.28,5788273335,7.28
17,104/06/25,154651800,2.91,7230215980,7.0,7245878475,7.01
18,104/06/26,162774800,3.69,6767343935,7.99,6784705585,8.01
19,104/06/29,174431900,3.53,6482697655,6.87,6443109400,6.83
20,104/06/30,206815200,4.41,7421607790,8.0,7465110135,8.05
0,104/07/01,135398600,2.9,7485688355,8.64,7505948680,8.66
1,104/07/02,181268300,3.77,7284268465,8.46,7302417500,8.48
2,104/07/03,231279300,4.97,8502060280,10.07,8535917560,10.11
3,104/07/06,200667500,4.53,7438961615,8.9,7392489165,8.84
4,104/07/07,270146700,5.4,9840232585,10.63,9836830410,10.63
5,104/07/08,246025900,3.29,10059857165,7.01,10018805135,6.98
6,104/07/09,397547800,5.61,14381649745,11.03,14643965755,11.23
7,104/07/13,187741100,3.27,8135135915,7.81,8159438025,7.84
8,104/07/14,217361600,3.75,8357020845,8.29,8317533590,8.25
9,104/07/15,177864300,3.65,7314591290,8.77,7307191540,8.76
10,104/07/16,188242100,3.96,6733802795,8.64,6752851980,8.66
11,104/07/17,148986700,3.44,6169291560,8.05,6167713915,8.05
12,104/07/20,174442600,3.59,6918126395,8.37,6895140740,8.34
13,104/07/21,186683600,3.88,6909483415,9.49,6934962860,9.52
14,104/07/22,128265800,2.77,6339586920,7.96,6342067675,7.96
15,104/07/23,199495200,3.45,9054402145,8.66,9017129940,8.63
16,104/07/24,148471600,3.36,6929421865,8.91,6924828855,8.91
17,104/07/27,153711900,2.78,6708635975,6.88,6649231940,6.82
18,104/07/28,239697800,4.14,8802855735,8.78,8877610450,8.86
19,104/07/29,216505100,3.96,8968536130,9.96,8978701985,9.97
20,104/07/30,196903900,3.53,8864262490,10.0,8870622080,10.01
21,104/07/31,175266400,3.71,7393121680,8.5,7403670730,8.51
0,104/08/03,158199300,3.54,7448441420,9.42,7456686090,9.43
1,104/08/04,201942300,3.42,10541437325,10.43,10535588075,10.43
2,104/08/05,174324700,3.5,9247862610,10.65,9277296260,10.68
3,104/08/06,186889700,3.64,9150845200,10.07,9153516530,10.07
4,104/08/07,161935700,3.93,8920590435,11.71,8976147740,11.78
5,104/08/10,166949400,3.5,8632346840,10.9,8685686540,10.97
6,104/08/11,183630900,3.26,9729130400,9.69,9683672460,9.64
7,104/08/12,215891300,3.91,10193338200,10.53,10202845590,10.54
8,104/08/13,211586200,4.04,9582926580,10.76,9599350180,10.78
9,104/08/14,178739200,4.17,7753053930,10.49,7755280950,10.49
10,104/08/17,138904100,3.46,6146350000,8.74,6133085730,8.72
11,104/08/18,195811200,4.41,7569712870,10.0,7568256660,10.0
12,104/08/19,215717100,3.76,9413887230,9.24,9398111530,9.22
13,104/08/20,196763400,4.08,9634611345,10.87,9658766420,10.9
14,104/08/21,203810500,3.73,8983480565,8.66,8955802985,8.63
15,104/08/24,424939600,5.61,16535922520,11.31,16578939120,11.34
16,104/08/25,392557400,6.2,15482607280,12.51,15659110385,12.65
17,104/08/26,431850800,7.61,15785194130,14.33,15891328375,14.43
18,104/08/27,339440300,6.03,13404902705,12.17,13435516885,12.19
19,104/08/28,279451800,5.24,11624020890,11.03,11634309510,11.04
20,104/08/31,302422500,6.19,10200119315,10.03,10239401300,10.07
0,104/09/01,307848900,6.63,10113231380,11.85,10126658420,11.86
1,104/09/02,370867600,7.68,11961632190,13.09,12018527635,13.15
2,104/09/03,290419000,5.81,11054753440,12.68,11098777840,12.73
3,104/09/04,352147500,7.43,11625373585,13.99,11554591265,13.9
4,104/09/07,289963600,7.87,10544905920,15.26,10574086210,15.3
5,104/09/08,246278100,6.65,9372186955,14.02,9392131725,14.05
6,104/09/09,309603400,5.07,12143145590,10.21,12201115290,10.26
7,104/09/10,264017200,5.77,10246259040,11.92,10273084800,11.95
8,104/09/11,224625600,5.66,9892748595,12.26,9906227025,12.28
9,104/09/14,245628900,6.41,9523321720,12.42,9508460445,12.4
10,104/09/15,234360000,6.61,8765858800,12.65,8754965940,12.63
11,104/09/16,247198900,6.14,9730609840,11.96,9712208250,11.94
12,104/09/17,241213300,4.91,9287661400,9.38,9302447075,9.4
13,104/09/18,218759100,4.8,8976978590,9.42,9017855860,9.46
14,104/09/21,176045300,4.66,6806808140,8.75,6815942235,8.76
15,104/09/22,187278300,4.91,7344559450,10.42,7365831715,10.45
16,104/09/23,175432200,4.17,7227848870,8.91,7212836250,8.89
17,104/09/24,215002000,5.05,9225544870,11.16,9195396290,11.12
18,104/09/25,195337000,5.33,9271840310,12.95,9302282340,13.0
19,104/09/30,173368300,3.95,8602735850,8.14,8635007215,8.17
0,104/10/01,160194300,3.37,8565964045,9.55,8588537915,9.58
1,104/10/02,138273100,3.52,7836920150,10.54,7866684250,10.58
2,104/10/05,137686800,3.28,7695050610,9.12,7722628170,9.16
3,104/10/06,170768100,3.39,9615317810,9.51,9598502710,9.49
4,104/10/07,172037400,3.45,8955446080,9.51,9002859095,9.56
5,104/10/08,201004900,4.38,9455390175,9.69,9410113615,9.64
6,104/10/12,163548500,3.5,8412439970,8.15,8444805650,8.19
7,104/10/13,166975300,3.6,8247636800,9.15,8268213540,9.17
8,104/10/14,185886100,3.98,8001777980,9.11,8012668180,9.12
9,104/10/15,184844300,3.75,8258392255,8.67,8269750345,8.68
10,104/10/16,162505600,3.4,7987102900,8.25,7989213610,8.26
11,104/10/19,135752100,3.25,7408326920,9.11,7409915760,9.12
12,104/10/20,124801000,2.83,6846029230,8.27,6846651635,8.28
13,104/10/21,150860000,3.14,7801368490,8.69,7818647960,8.71
14,104/10/22,147931000,3.42,7708238190,10.1,7731048430,10.13
15,104/10/23,149953500,3.38,8365863480,8.89,8354182790,8.88
16,104/10/26,124226000,3.07,7163085980,8.4,7185301350,8.43
17,104/10/27,146711600,3.21,7882516570,8.84,7884421440,8.84
18,104/10/28,133540100,3.06,7010443885,8.7,7014463540,8.71
19,104/10/29,151591400,3.28,7650424840,8.88,7616450260,8.84
20,104/10/30,159669800,3.65,8736881820,10.02,8753731050,10.04
0,104/11/02,138422000,3.47,7826681560,9.93,7858606960,9.97
1,104/11/03,158928000,3.15,8303444340,8.5,8307156280,8.51
2,104/11/04,192556100,3.04,10166007570,7.91,10208495895,7.94
3,104/11/05,200312800,3.52,10509828945,9.81,10508695105,9.81
4,104/11/06,176867000,3.31,10238611960,8.95,10227842100,8.95
5,104/11/09,183879400,3.83,9955985335,10.4,9944282965,10.39
6,104/11/10,161767700,3.6,8778761015,10.14,8798779150,10.16
7,104/11/11,170989900,3.44,9743003190,9.94,9685272670,9.88
8,104/11/12,168123100,3.71,9867705450,11.88,9869615795,11.88
9,104/11/13,156212800,3.9,8089111700,10.35,8088744615,10.34
10,104/11/16,164738400,3.95,8099949070,9.93,8134516190,9.97
11,104/11/17,157605200,3.35,8190696555,9.47,8198058860,9.48
12,104/11/18,157199400,3.54,7423021480,8.86,7432604005,8.87
13,104/11/19,162276100,3.59,8484092880,9.86,8509067950,9.89
14,104/11/20,125673600,3.3,7478459680,9.79,7494914775,9.82
15,104/11/23,116761500,3.31,6259357590,8.86,6269233205,8.87
16,104/11/24,129860200,3.06,7446031375,9.11,7414052720,9.07
17,104/11/25,129436500,3.17,6938827355,9.08,6945861925,9.09
18,104/11/26,140808000,3.36,7564608420,9.44,7582812750,9.46
19,104/11/27,133705400,3.77,6274868835,9.4,6250089395,9.36
20,104/11/30,208394500,3.65,7875177270,5.74,7892344720,5.75
0,104/12/01,148028800,3.3,6852818770,7.48,6880833530,7.51
1,104/12/02,152793400,3.29,7481572925,8.23,7494918525,8.24
2,104/12/03,162990400,3.65,6766941610,8.26,6789666835,8.29
3,104/12/04,129619900,3.22,6519295580,7.91,6534966215,7.93
4,104/12/07,153025800,3.73,7952764420,8.92,7970317610,8.94
5,104/12/08,147809000,3.37,6726106140,7.69,6719784230,7.68
6,104/12/09,174095700,3.73,8080891880,8.92,8062498285,8.9
7,104/12/10,202490100,4.42,9147547090,10.25,9170720500,10.28
8,104/12/11,186630500,4.24,7975324630,8.96,7933696730,8.91
9,104/12/14,173516800,4.39,7466778995,9.82,7488525730,9.85
10,104/12/15,154841600,3.96,6721360915,9.02,6716728000,9.02
11,104/12/16,164584800,3.58,8604663195,9.6,8628267800,9.63
12,104/12/17,174143500,3.47,7921645690,8.56,7955770095,8.6
13,104/12/18,190126100,4.42,7683622870,9.09,7700004080,9.11
14,104/12/21,228101900,4.9,7368336955,9.4,7395537070,9.43
15,104/12/22,186501300,4.24,7277209450,9.42,7272825095,9.41
16,104/12/23,239724100,5.28,7580654395,10.15,7579107420,10.15
17,104/12/24,181139600,4.67,6073675330,9.86,6059883870,9.84
18,104/12/25,126133700,4.67,4094572575,10.17,4104426260,10.19
19,104/12/28,103726000,3.89,3608269640,7.07,3597590310,7.05
20,104/12/29,114454100,3.88,4690702205,8.87,4695976630,8.88
21,104/12/30,127494300,4.18,4651156400,8.68,4640926065,8.66
22,104/12/31,90993400,3.64,3600780620,7.46,3611488760,7.49
0,105/01/04,128757300,3.36,5116588800,6.64,5090217815,6.6
1,105/01/05,191620100,4.59,7375108225,9.17,7410305300,9.22
2,105/01/06,209336500,4.3,9622243440,9.7,9633653730,9.71
3,105/01/07,221600900,3.74,10267751210,8.73,10222876495,8.69
4,105/01/08,231053500,5.09,10221097620,11.0,10284533410,11.07
5,105/01/11,196058000,4.53,8112321790,9.5,8128931880,9.52
6,105/01/12,248826300,5.21,9208647445,10.63,9161617560,10.58
7,105/01/13,199309000,4.75,8182802700,10.68,8186962790,10.68
8,105/01/14,225404400,5.27,8732495240,10.67,8779670120,10.73
9,105/01/15,206696000,4.88,8645032910,9.55,8613441040,9.52
10,105/01/18,221833100,4.86,9092071615,11.12,9152477190,11.2
11,105/01/19,205379600,4.66,8391863940,11.29,8443976210,11.36
12,105/01/20,229834800,4.6,9597113260,10.67,9542998725,10.61
13,105/01/21,214076300,5.06,8389991490,11.37,8386652260,11.37
14,105/01/22,226139800,5.99,7649428345,11.02,7640545695,11.0
15,105/01/25,157671000,4.02,6677826850,9.58,6698213420,9.61
16,105/01/26,163926000,4.39,6579651060,10.55,6576711600,10.54
17,105/01/27,226780500,5.78,8115213115,11.53,8085389060,11.49
18,105/01/28,196173800,4.64,8869568110,11.13,8892141110,11.16
19,105/01/29,284380000,4.83,11825041180,10.42,11888131750,10.47
20,105/01/30,128569000,3.16,7332840830,11.73,7345720750,11.75
0,105/02/01,230263400,5.55,9680147990,11.4,9659336105,11.37
1,105/02/02,214703400,5.99,8503408295,11.52,8545196300,11.57
2,105/02/03,181530100,5.43,7795516970,9.92,7789283530,9.91
3,105/02/15,187314000,5.06,7835177640,8.79,7886341285,8.85
4,105/02/16,201260100,4.11,8535166690,9.24,8574412515,9.29
5,105/02/17,230246000,5.07,9240795980,10.87,9239898370,10.87
6,105/02/18,207317300,4.41,9145307435,9.49,9153764390,9.5
7,105/02/19,190960000,5.04,7977015610,10.39,7994196060,10.41
8,105/02/22,217544000,5.28,8443914110,11.01,8456792380,11.03
9,105/02/23,202877000,4.73,8637247930,10.91,8655505000,10.93
